gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse,urteil,code,begruendung
GSE34074,Genome-wide microarray analysis of normal human fibroblasts in response to genistein,Establishment of a transcriptomic profile of human cells treated with genistein with particular emphasis on signature of genes coding for enzymes involved in glycosaminoglycan synthesis stands for the present study. The hypothesis tested was that genistein influences expression of some genes among which are those coding for enzymes required for synthesis of different GAGs being pathologically accumulated in mucopolysaccharidoses. Results provide important information concerning the extent of action of genistein at the molecular level in terms of modulation of gene expression by this substance.,60.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE43515,Effect of MWCNT on Lung Fibroblast gene expression,"Multi-walled carbon nanotubes (MWCNT) cause lung fibrosis in rodents and exacerbate airway fibrosis in the mouse ovalbumin model of allergic asthma.  Interleukin 13 (IL-13) is a key cytokine secreted by T helper type 2 (Th2) cells. IL-13 is up-regulated in human asthma and animal models that activate pro-fibrotic and pro-proliferative cell signaling cascades in human lung fibroblasts (HLF).  This study tested the hypothesis that IL-13 alters the gene expression profile of HLF exposed to MWCNT. Carbon black nanoparticles (CBNP) were also compared to MWCNT as they are relatively inert nanoparticles that do not cause fibrosis.  Confluent, quiescent cultures of HLF were treated with 10 ng/ml IL-13 or serum-free defined medium (vehicle) for 24 hours prior to treatment with 10 µg/cm2  MWCNT or CBNP. At 4, 24, or 48 hours following nanoparticle exposure, total RNA was isolated and gene expression was measured using the Affymetrix Human Genome U133A2.0 Array. The data were analyzed using the JMP Genomics statistical platform. IL-13 and MWCNT each caused changes in the expression of distinct gene subsets over the time-course investigated. The combination of IL-13 and MWCNT resulted in a gene expression profile that was distinct from patterns induced or suppressed by either IL-13 or MWCNT alone. CBNP caused changes in gene expression that were distinct from IL-13 or MWCNT. Interestingly, the combination of IL-13 and MWCNT increased the expression of IL-17A and increased collagen (Col1A1), while MWCNT alone increased interferon-inducible protein-27 (IFI27), suggesting that  Th2 microenvironment containing IL-13 shifts MWCNT-induced gene expression from a Th1 to a Th17 gene expression profile.  These data provide insight into the mechanisms by which MWCNT alter the biology of fibroblasts during normal and allergic inflammatory conditions.",54.0,Expression profiling by array,Homo sapiens,,OI,HAND,-,Handsichtung
GSE75234,The histone H3.3K36M mutation reprograms the epigenome of chondroblastomas,"Over 90% of chondroblastomas contain a heterozygous mutation replacing lysine 36 with methionine (K36M) in the histone H3 variant H3.3. The role of the H3.3K36M mutation in tumorigenesis of this typically benign bone tumor with high recurrence rates is unknown. Here, we show that H3K36 di- and tri-methylation (me2 and me3) levels are reduced globally in chondroblastomas, as well as in chondrocytes stably expressing the H3.3K36M mutation because the H3.3M36 mutation protein inhibits the activity of lysine methyl transferases, MMSET and SetD2. Remarkably, at gene bodies, H3K36me2 increases and H3K36me3 decreases, which correlates with elevated and reduced expression of the underlying genes, respectively. Genes with altered H3K36me2/me3 and gene expression are associated with cancer pathways and chondrocyte differentiation.  Chondrocytes harboring the H3.3K36M mutation exhibit cancer-associated cellular phenotypes and delayed chondrocyte differentiation associated with reduced Bmp2 and Runx2 expression.  Exogenous Bmp2 partially rescued the delays in chondrocyte differentiation.  Thus, H3.3K36M mutant proteins dominantly reprogram H3K36me2/me3 and chondrocyte gene expression, inhibiting terminal chondrocyte differentiation and contributing to tumorigenesis.",49.0,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE43692,"Genome-wide microarray analysis of normal human fibroblasts in response to kaemferol, daidzein, kaemferol/genistein, and daidzein/genistein","Establishment of a transcriptomic profile of human cells treated with kaemferol, daidzein, kaemferol/genistein, or daidzein/genistein with particular emphasis on signature of genes coding for enzymes involved in glycosaminoglycan synthesis stands for the present study. The hypothesis tested was that kaemferol, daidzein, kaemferol/genistein, and daidzein/genistein influence expression of some genes, among which are those coding for enzymes required for the synthesis of different GAGs being pathologically accumulated in mucopolysaccharidoses. Results provide important information concerning the extent of action of kaemferol, daidzein, kaemferol/genistein, and daidzein/genistein at the molecular level in terms of modulation of gene expression.",48.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE333317,Adrenal-derived factors drive progression of sclerotic prostate cancer  in bone,"Bone metastasis is a leading cause of death in prostate cancer (PC) patients. Although androgen‐deprivation therapy (ADT) combined with novel androgen‐targeted agents constitutes the cornerstone of systemic treatment, its efficacy is limited. We investigated the adrenal contribution in promoting progression of castration-resistant PC (CRPC) within bone using a preclinical intratibial xenograft model (VCaP, 22Rv1, and LNCaP cells). Mice underwent orchiectomy (ORX) to mimic ADT, with or without adrenalectomy (ORX+ADX) to eliminate adrenal contribution. A significant increase in bone mineral density (BMD) was observed in tumor-grafted tibiae in ORX-treated mice compared to controls (p<0.001), indicating a strong tumor-induced sclerotic response. In contrast, ORX+ADX reduced tumor take rate by approximately 50% and decreased tumor-induced BMD by over 80% (p<0.001). Transcriptomic analysis revealed that ADX downregulated tumor-induced transcripts in bone by over 90%, including osteogenic (Lox, Sparcl1, Bmp2, Postn, Col1a1) and pro-angiogenic (Bmper, Pecam-1, Esam) signatures. Additionally, BMP, PI3K/Akt and ERK1/2 signaling pathways were associated with the tumor-induced bone response. Both high serum progesterone and intratumoral levels of dihydrotestosterone (DHT) were associated with the sclerotic bone phenotype. ADX markedly reduced intratumoral DHT and downregulated glycolytic genes (HK2, PFK2, LDHA) and secretory proteins expressed by the tumor, including Stanniocalcin 2, potentially mediating paracrine effects in the sclerotic bone response. Altogether, these findings highlight the critical role of adrenal- dependent androgen synthesis, particularly via progesterone, in driving the sclerotic CRPC in bone. Our findings suggest that a comprehensive blockade of adrenal contribution is essential to prevent the sclerotic bone response associated with CRPC.",48.0,Expression profiling by high throughput sequencing,Homo sapiens; Mus musculus,,OI,HAND,-,Handsichtung
GSE44147,Transcriptomic effects of caloric restriction reflected in primate difference,"Caloric restriction (CR) can delay morbidity and mortality in a broad range of species, including mice and macaques. Mutations and chemical agents, such as resveratrol or rapamycin that partly mimic the CR effect, can similarly increase survival or extend lifespan. In humans, however, the effects of CR or other life-extending agents have not been investigated systematically. Humans already display lower mortality and greater maximal lifespan compared to closely related species, including chimpanzees and macaques. It is thus possible that humans, during their evolution, have acquired genetic mutations mimicking the CR effect. To address this question, we compared transcriptome differences between humans and other primates, with transcriptome changes observed in mice subjected to CR [see references below]. We show that the human transcriptome state examined in multiple tissues and across different ages resembles the transcriptome state of mice fed ad libitum, relative to CR mice or mice treated with resveratrol. Furthermore, transcriptome changes induced by CR were enriched among genes showing age-related changes among primates, concentrated in specific expression patterns, and could be linked with specific functional pathways, including insulin signalling, cancer, and immune response. These findings indicate that the evolution of human longevity was likely independent of CR-induced lifespan extension mechanisms. Consequently, application of CR or CR-mimicking agents may offer a promising direction in the extension of healthy human lifespan.  References for the transcriptome changes observed in mice subjected to CR: 1)  Barger JL, Kayo T, Vann JM, Arias EB, Wang J, Hacker TA, Wang Y, Raederstorff D, Morrow JD, Leeuwenburgh C, et al: A low dose of dietary resveratrol partially mimics caloric restriction and retards aging parameters in mice. PLoS One 2008, 3:e2264. 2)  Tsuchiya T, Dhahbi JM, Cui X, Mote PL, Bartke A, Spindler SR: Additive regulation of hepatic gene expression by dwarfism and caloric restriction. Physiol Genomics 2004, 17:307-315. 3)  Baur JA, Pearson KJ, Price NL, Jamieson HA, Lerin C, Kalra A, Prabhu VV, Allard JS, Lopez-Lluch G, Lewis K, et al: Resveratrol improves health and survival of mice on a high-calorie diet. Nature 2006, 444:337-342.",48.0,Expression profiling by array,Macaca mulatta; Homo sapiens; Mus musculus; Pan troglodytes,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE98460,Transcriptional Analysis of Articular Cartilage in Knee Osteoarthritis: Relationship with Obesity,"Objective: To examine the changes in tibial plateau cartilage in relation to body mass index (BMI) in patients with end-stage osteoarthritis (OA).    Design: Knees were obtained from 23 OA patients (3 non-obese, 20 obese) at the time of total knee replacement. RNA prepared from cartilage was probed for differentially expressed (DE) gene transcripts using RNA microarrays and validated via real-time PCR. Differences with regard to age, sex, and between medial and lateral compartments were also queried.    Results: Microarrays revealed that numerous transcripts were significantly DE between non-obese and obese patients (≥1.5-fold) using pooled and separate data from medial and lateral compartments. Correlation analyses showed that 706 transcripts (459 positively, 247 negatively) were significantly correlated with BMI. Among these, HS3ST6, HSD17B12, and FAM26F were positively correlated while STAC3, PRSS21, and EDA were negatively correlated. Differentially correlated transcripts represented important biological processes e.g. cellular metabolic processes, anatomical structure morphogenesis and cellular response to growth factors. Although age and sex had some effect on transcript expression, most intriguing results were observed for comparison between medial and lateral compartments. Transcripts (MMP13, CLEC3A, MATN3, EPYC, SCARNA5, COL2A1) elevated in the medial compartment represented skeletal system development, cartilage development, collagen and proteoglycan metabolism, and extracellular matrix organization. Likewise, transcripts (SELE, CTSS, VSIG4, F13A1, and STEAP4) repressed in medial compartment represented host immune response, cell migration, wound healing, cell proliferation and response to cytokines. PCR data confirmed expression of DE transcripts.    Conclusions: This study supports molecular interaction between obesity and OA and implies that BMI is an important determinant of transcript-level changes in cartilage.",46.0,Expression profiling by array,Homo sapiens,,PSACH_MED,HAND,-,Handsichtung
GSE195688,Lineage-Specific Differences and Inference of Regulatory Networks Governing Human Chondrocyte Development,"In-vitro differentiation of chondrocyte populations recapitulate in-vivo behaviours, and reveal gene regulatory networks involved in chondrocyte development",46.0,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens; Mus musculus,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE219215,Human iPSC can be differentiated in vitro to articular cartilage or to osteogenic organoids via the endochondral ossification transdifferentiation pathway,"The ability to generate chondrocytes and osteoblasts from induced pluripotent stem cells (iPSCs) will provide insights into skeletal development and genetic skeletal disorders and generate cells for regenerative medicine applications. Here we describe a method that directs iPSC-derived sclerotome to chondroprogenitors in 3D pellet culture then to articular chondrocytes or, alternatively, along the growth plate cartilage pathway to become hypertrophic chondrocytes that can transdifferentiate to osteoblasts. Osteogenic organoids deposit and mineralize a collagen I extracellular matrix (ECM), mirroring in vivo endochondral bone formation. We have identified gene expression signatures at key developmental stages including chondrocyte maturation, hypertrophy and transdifferentiation to osteoblasts, and show that this system can be used to model genetic cartilage and bone disorders.",42.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE246236,Reprograming human fibroblasts into Sertoli cells:  a tool for personalized medicine,"Differences of Sex Development (DSD) are a set of conditions where development of chromosomal, gonadal, or anatomical sex is atypical. With overlapping phenotypes and multiple genes involved, poor diagnostic yields are achieved for many of these conditions. The current DSD diagnostic regimen can be augmented by investigating transcriptome/proteome in vivo, but it is hampered by the unavailability of affected gonadal tissue at the relevant developmental stage. We try to mitigate this limitation by reprogramming readily available skin tissue-derived dermal fibroblasts into Sertoli cells (SC), which could then be deployed for different diagnostic strategies. SCs form the target cell type of choice because they act like an organizing center of embryonic gonadal development and many DSD arise when these developmental processes go awry. Methods: We employed a computational predictive algorithm for cell conversions called Mogrify to predict the transcription factors (TFs) required for direct reprogramming of human dermal fibroblasts into SCs. We established trans-differentiation culture conditions where stable transgenic expression of these TFs was achieved in 46, XY adult dermal fibroblasts using lentiviral vectors. The resulting Sertoli like cells (SLCs) were validated for SC phenotype using several approaches.  Results: SLCs exhibited Sertoli-like morphological and cellular properties as revealed by morphometry and xCelligence cell behavior assays. They also showed Sertoli-specific expression of molecular markers such as SOX9, PTGDS, BMP4, or DMRT1 as revealed by IF imaging, RNAseq and qPCR. The SLC transcriptome shared about two thirds of its differentially expressed genes with a human adult SC transcriptome and expressed markers typical of embryonic SCs. Notably, SLCs lacked expression of most markers of other gonadal cell types such as Leydig, germ, peritubular myoid or granulosa cells.  Conclusions: The trans-differentiation method was applied to a variety of commercially available 46, XY fibroblasts derived from patients with DSD and to a 46, XX cell line. The DSD SLCs displayed altered levels of trans-differentiation in comparison to normal 46, XY-derived SLCs, thus showcasing the robustness of this new trans-differentiation model.",41.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE690,HMF3A_RNAi,"HMF3A cells, created from adult human mammary fibroblasts by immortalisation with a thermolabile SV40 large T antigen and the catalytic sub-unit of human telomerase, undergo co-ordinated induction of cellular senescence upon inactivation of T antigen. The pSUPER-retro vector system (Brummelkamp, 2002) was used to selectively target genes for mRNA degradation in an attempt to determine if they had a role, in the changes to the transcriptome upon LT inactivation. The genes chosen for targeting were BTG2, NR4A3, DUSP1, PHLDA1 and STACb. Keywords = LT antigen Keywords = senescence Keywords = fibroblast Keywords = BTG2 Keywords = DUSP1 Keywords = MKP-1 Keywords = NR4A3 Keywords = STAC Keywords = PHLDA1 Keywords = RNAi Keywords: other",40.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE286565,Recurrent FGFR-alterations are frequent oncogenic drivers and therapeutic targets in pediatric low-grade gliomas [RNA-Seq 2],"Alterations in Fibroblast growth factor receptor proteins frequently occur as oncogenes in many cancers. FGFR alterations have been reported in a subset of pediatric gliomas, representing a therapeutic target for precision medicine approaches. We performed a genomic analysis of 13,659 gliomas and found that 4.5% harbor FGFR alterations including structural variants and single nucleotide variants. FGFR family members are differentially enriched by age, tumor grade, and histological subtype. FGFR1 alterations are most frequent in pediatric gliomas, particularly pediatric low-grade gliomas, while FGFR3 drivers were associated with adult gliomas. In vitro and in vivo functional studies confirm FGFR1 alterations to be sufficient to activate MAPK and mTOR signaling, drive gliomagenesis and activate neuronal transcriptional programs. FGFR1-driven models showed sensitivity to MAPK pathway inhibitors, including panFGFR inhibitors that are FDA approved for use in other cancers. While early FGFR inhibition was sufficient to prolong survival of mice bearing FGFR-driven xenografts, this was insufficient to induce cures. Similarly, review of patients treated with currently available MAPK pathway or FGFR inhibitors revealed modest responses. This study provides key insights into the biology of FGFR1-altered gliomas and potential strategies to therapeutically target them.",40.0,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3,HAND,-,Handsichtung
GSE237512,PI3Kα inhibition blocks osteochondroprogenitor specification and the hyper-inflammatory response to prevent heterotopic ossification,"Heterotopic ossification (HO) occurs following mechanical trauma, burns, or congenitally in patients suffering from fibrodysplasia ossificans progressiva (FOP). Recently, we demonstrated that inhibitors of phosphatidyl-inositol 3-kinase alpha (PI3Kα), including the already marketed BYL719/Alpelisib/Piqray, may become a useful therapy for patients undergoing HO. In this study, we have confirmed these results and optimized the timing of administration of BYL719. We found that BYL719 effectively prevents HO when administered even up to three to seven days after injury. We demonstrate in cell cultures and in a mouse model of HO, that the major actions of BYL719 are on-target effects through inhibition of PI3Kα, without directly affecting ACVR1/ALK2 kinase activity. In vivo, we found that lack of PI3Kα in progenitors at injury sites is sufficient to prevent HO. Moreover, time course assays in HO lesions demonstrate that BYL719 not only blocks osteochondroprogenitor specification, but also reduces the inflammatory response. BYL719 inhibits the migration, the proliferation, and the expression of pro-inflammatory cytokines in monocytes and mast cells, suggesting that BYL719 hampers the hyper-inflammatory status of HO lesions. As part of this study, we have conducted bulk RNA sequencing using human mesenchymal stem cells (hMSCs) expressing ACVR1/ALK2-R206H to assess molecular effectors driving the therapeutic potential of BYL719 in FOP. Altogether, these results highlight the potential of PI3Kα inhibition as a safe and effective therapeutic strategy for HO.",39.0,Expression profiling by high throughput sequencing,Homo sapiens,,FOP,HAND,-,Handsichtung
GSE41177,Region-specific gene expression profiles in left atria of patients with valvular atrial fibrillation,"Of 54,675 expressed sequence tags, microarray analysis revealed that 391 genes were differently expressed (>1.5-fold difference) between LA-PV junction and LAA, including genes related to arrhythmia, cell death, fibrosis, hypertrophy, and inflammation. Microarray and q-PCR produced parallel results in analyzing the expression of particular genes. The expression of paired like homeodomain-2 (PITX2) and its target protein (short stature homeobox-2 [SHOX2]) was greater in LA-PV junction than in LAA, which may contribute to arrhythmogenesis. Five genes related to thrombogenesis were up-regulated in LAA, which may implicate for the preferential thrombus formation in LAA. Genes related to fibrosis were highly expressed in LAA, which was reflected by intense ultrastructural changes in this region",38.0,Expression profiling by array,Homo sapiens,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE140782,Highly connected enhancer communities control lineage-determining genes in human mesenchymal stem cells,"Adipocyte differentiation is driven by waves of transcriptional regulators that reprogram the en-hancer landscape and change the wiring of the promoter interactome. Here, we establish enhancer-capture Hi-C to interrogate the extent and role of enhancer-to-enhancer interactions during adi-pocyte differentiation of human mesenchymal stem cells. We find that enhancers form an elaborate network that is highly dynamic during differentiation and tightly coupled to changes of enhancer activity. These interactions are important for enhancer function, since transcription factors at baited enhancers stabilize transcription factor binding at target enhancers, a phenomenon we term cross-interaction stabilization of transcription factors (CIST). Moreover, highly interconnected enhancers (HICE) act as integration hubs orchestrating differentiation by formation of insulated 3D enhancer communities, inside which, HICE, and other enhancers, converge on phenotypically important gene promoters. Collectively, these results indicate that dynamic enhancer interactions play a key role in regulation of enhancer function, and that HICE are important for both signal integration and compartmentalization of the genome.",36.0,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE238013,Cell-type-specific regulation of APOE and CLU levels in human neurons by the Alzheimer’s disease risk gene SORL1,"SORL1 is strongly implicated in the pathogenesis of Alzheimer’s disease (AD) through human genetic studies that point to an association of reduced SORL1 levels with higher risk for AD. To interrogate the role(s) of SORL1 in human brain cells, SORL1 null iPSCs were generated, followed by differentiation to neuron, astrocyte, microglial, and endothelial cell fates. Loss of SORL1 led to alterations in both overlapping and distinct pathways across cell types, with the greatest effects in neurons and astrocytes. Intriguingly, SORL1 loss led to a dramatic neuron-specific reduction in APOE and CLU levels, an increase in the accumulation of lipid droplets and altered lipid profiles. Pathway analysis implicated intracellular transport pathways and TGF-β/SMAD signaling in the function of SORL1 in neurons. Enhancement of retromer-mediated trafficking and autophagy rescued tau phenotypes observed in SORL1 null neurons but did not rescue APOE levels. However, stimulation and inhibition of SMAD signaling in neurons modulated APOE RNA levels in a SORL1-dependent manner. Further, analyses of iPSCs derived from a human aging cohort revealed a neuron-specific linear correlation between SORL1 and APOE RNA and protein levels, a finding validated in human post-mortem brain. These studies provide a mechanistic link between two of the strongest genetic risk factors for AD.",36.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE63239,Genome-wide microarray analysis of human fibroblasts in response to indomethacin and nimesulide.,Establishment of a transcriptomic profile of human cells treated with genistein with particular emphasis on signature of genes coding for enzymes involved in glycosaminoglycan synthesis stands for the present study. The hypothesis tested was that indomethacin and nimesulide influence expression of some genes among which are those coding for enzymes required for synthesis of different GAGs being pathologically accumulated in mucopolysaccharidoses. Results provide important information concerning the extent of action of indomethacin and nimesulide at the molecular level in terms of modulation of gene expression by these substances.,36.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE218101,Isogenic pairs of MPS VI gene corrected iPSC and Chondrogenic cells,"To investigate the effect of MPS VI on gene expression in chondrogenic cells, we gene corrected four patient derived hiPSC using a ARSB knock-in into the AAVS1 locus. We differentiated cells into chondrogenic cells using a 14 day protocol, we proformed gene expression profiling analysis using data obtained from RNA-seq at iPS stage in monoplo and differentiated cells in triplo.",34.0,Expression profiling by high throughput sequencing,Homo sapiens,,MPS,HAND,-,Handsichtung
